# NPT_VS_PR TimeStep=2.067055e+01 MassBarostat=1.000000e+00
#  1:iter 2:L  3:Temp    4:Stress   5:Utot   6:Ukc    7:Ubaro  8:Wbaro    9:Hamilton
  88 11.637647 4803.030728 +0.000050 -32.272161 0.182522 0.069176 0.153428 -31.867035
  89 11.741672 4824.609839 +0.000024 -32.278102 0.183342 0.069251 0.157614 -31.867894
  90 11.844349 4834.398162 -0.000003 -32.282424 0.183714 0.067467 0.161879 -31.869365
  91 11.944752 3925.500190 -0.000029 -32.284787 0.149174 0.064512 0.166163 -31.904938
  92 12.042035 3927.082404 -0.000052 -32.285770 0.149235 0.060566 0.170424 -31.905546
  93 12.135411 3923.556043 -0.000073 -32.285571 0.149101 0.055797 0.174622 -31.906051
  94 12.224118 3916.417598 -0.000091 -32.284361 0.148829 0.050358 0.178716 -31.906457
  95 12.307479 3907.114344 -0.000108 -32.282341 0.148476 0.044470 0.182664 -31.906732
  96 12.384882 3896.863267 -0.000122 -32.279737 0.148086 0.038341 0.186426 -31.906883
  97 12.455788 3886.850901 -0.000133 -32.276774 0.147706 0.032175 0.189966 -31.906927
  98 12.519709 3877.970980 -0.000144 -32.273636 0.147368 0.026147 0.193247 -31.906873
  99 12.576204 3871.016205 -0.000153 -32.270489 0.147104 0.020426 0.196238 -31.906721
 100 12.624697 3866.528675 -0.000160 -32.267503 0.146933 0.015049 0.198906 -31.906614
 101 12.664886 3433.853457 -0.000165 -32.264786 0.130491 0.010336 0.201216 -31.922742
 102 12.696525 3437.901172 -0.000169 -32.262537 0.130645 0.006406 0.203144 -31.922342
 103 12.719422 3445.790136 -0.000172 -32.260863 0.130945 0.003355 0.204670 -31.921893
 104 12.733422 3457.869826 -0.000175 -32.259844 0.131404 0.001254 0.205779 -31.921406
 105 12.738419 3474.438294 -0.000176 -32.259549 0.132033 0.000160 0.206460 -31.920896
 106 12.734352 3495.909633 -0.000177 -32.260028 0.132849 0.000106 0.206703 -31.920370
 107 12.721205 3522.747098 -0.000177 -32.261314 0.133869 0.001106 0.206505 -31.919833
 108 12.699008 3555.304747 -0.000175 -32.263427 0.135106 0.003153 0.205866 -31.919301
 109 12.667839 3593.798067 -0.000173 -32.266369 0.136569 0.006217 0.204790 -31.918792
 110 12.627667 3638.748490 -0.000170 -32.270118 0.138277 0.010327 0.203286 -31.918227
 111 12.578652 3368.065967 -0.000166 -32.274617 0.127991 0.015375 0.201358 -31.929893
 112 12.520994 3423.776406 -0.000161 -32.279871 0.130108 0.021275 0.199023 -31.929465
 113 12.454945 3486.946014 -0.000154 -32.285822 0.132509 0.027918 0.196298 -31.929098
 114 12.380814 3558.424316 -0.000145 -32.292396 0.135225 0.035168 0.193208 -31.928795
 115 12.298973 3638.968399 -0.000134 -32.299501 0.138286 0.042864 0.189779 -31.928572
 116 12.209846 3729.399464 -0.000121 -32.307028 0.141722 0.050835 0.186040 -31.928430
 117 12.113909 3830.817158 -0.000104 -32.314874 0.145576 0.058901 0.182025 -31.928372
 118 12.011718 3944.038624 -0.000084 -32.322912 0.149879 0.066830 0.177768 -31.928436
 119 11.903859 4070.539871 -0.000062 -32.330995 0.154686 0.074449 0.173307 -31.928553
 120 11.790697 4211.962763 -0.000036 -32.339049 0.160060 0.081951 0.168680 -31.928358
 121 11.673026 3746.808064 -0.000002 -32.346677 0.142384 0.088610 0.163915 -31.951769
 122 11.551692 3904.873678 +0.000039 -32.353874 0.148391 0.094214 0.159056 -31.952213
 123 11.427667 4081.889431 +0.000085 -32.360528 0.155117 0.098439 0.154148 -31.952824
 124 11.302020 4279.941907 +0.000137 -32.366431 0.162644 0.101030 0.149236 -31.953521
 125 11.175989 4500.508124 +0.000200 -32.371430 0.171026 0.101648 0.144367 -31.954390
 126 11.050978 4744.941597 +0.000273 -32.375274 0.180314 0.100011 0.139591 -31.955357
 127 10.928536 5013.849616 +0.000351 -32.377850 0.190533 0.095941 0.134959 -31.956416
 128 10.810348 5307.308088 +0.000435 -32.379058 0.201685 0.089391 0.130523 -31.957459
 129 10.698380 5623.658494 +0.000534 -32.378859 0.213707 0.080230 0.126334 -31.958589
 130 10.593884 5960.256443 +0.000634 -32.377236 0.226498 0.069878 0.122449 -31.958411
 131 10.498896 4775.020232 +0.000728 -32.373420 0.181457 0.057741 0.118896 -32.015326
 132 10.415531 5083.412190 +0.000823 -32.369054 0.193177 0.044475 0.115726 -32.015676
 133 10.345865 5398.828116 +0.000911 -32.364746 0.205163 0.031059 0.112991 -32.015533
